Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
NSE,29877,1,VIVIDHA,VIVIDHA-EQ,EQ,0.01,
NSE,10970,125,VIVIANA,VIVIANA-ST,ST,0.05,
NSE,11920,1200,VITAL,VITAL-SM,SM,0.05,
NSE,23370,1600,VISHWAS,VISHWAS-SM,SM,0.05,
NSE,13702,1,VISHWARAJ,VISHWARAJ-EQ,EQ,0.01,
NSE,19300,500,VISHNUINFR,VISHNUINFR-SM,SM,0.05,
NSE,6908,1,VISHNU,VISHNU-EQ,EQ,0.05,
NSE,13298,1,VISASTEEL,VISASTEEL-BE,BE,0.01,
NSE,24274,3000,VISAMAN,VISAMAN-SM,SM,0.05,
NSE,4221,1,VISAKAIND,VISAKAIND-EQ,EQ,0.01,
NSE,15295,1,VIRINCHI,VIRINCHI-EQ,EQ,0.01,
NSE,8437,1,VIPULLTD,VIPULLTD-BE,BE,0.01,
NSE,3703,1,VIPIND,VIPIND-EQ,EQ,0.05,
NSE,14847,1,VIPCLOTHNG,VIPCLOTHNG-BE,BE,0.01,
NSE,16821,1,VINYLINDIA,VINYLINDIA-EQ,EQ,0.05,
NSE,19206,200,VINYAS,VINYAS-SM,SM,0.05,
NSE,17898,500,VINSYS,VINSYS-SM,SM,0.05,
NSE,12506,1,VINNY,VINNY-BE,BE,0.01,
NSE,3807,1,VINEETLAB,VINEETLAB-EQ,EQ,0.01,
NSE,3694,1,VINDHYATEL,VINDHYATEL-EQ,EQ,0.1,
NSE,25835,1,VINCOFE,VINCOFE-EQ,EQ,0.01,
NSE,17364,1,VINATIORGA,VINATIORGA-EQ,EQ,0.1,
NSE,13101,1,VIMTALABS,VIMTALABS-EQ,EQ,0.05,
NSE,16960,4000,VILINBIO,VILINBIO-ST,ST,0.05,
NSE,23909,250,VILAS,VILAS-SM,SM,0.05,
NSE,9931,1,VIKASLIFE,VIKASLIFE-EQ,EQ,0.01,
NSE,25756,1,VIKASECO,VIKASECO-EQ,EQ,0.01,
NSE,17691,1,VIJIFIN,VIJIFIN-EQ,EQ,0.01,
NSE,5585,1,VIJAYA,VIJAYA-EQ,EQ,0.1,
NSE,25231,800,VIESL,VIESL-SM,SM,0.05,
NSE,13536,1,VIDHIING,VIDHIING-EQ,EQ,0.05,
NSE,14316,2000,VIAZ,VIAZ-SM,SM,0.05,
NSE,23386,1,VHLTD,VHLTD-BE,BE,0.01,
NSE,11892,1,VHL,VHL-EQ,EQ,0.1,
NSE,15362,1,VGUARD,VGUARD-EQ,EQ,0.05,
NSE,8652,1,VETO,VETO-EQ,EQ,0.01,
NSE,3676,1,VESUVIUS,VESUVIUS-EQ,EQ,0.1,
NSE,18865,1,VERTOZ,VERTOZ-BE,BE,0.01,
NSE,14503,600,VERTEXPLUS,VERTEXPLUS-ST,ST,0.05,
NSE,23778,1200,VERITAAS,VERITAAS-ST,ST,0.05,
NSE,8890,1,VERANDA,VERANDA-EQ,EQ,0.01,
NSE,2667,1500,VERA,VERA-ST,ST,0.05,
NSE,13859,1,VENUSREM,VENUSREM-EQ,EQ,0.05,
NSE,9592,1,VENUSPIPES,VENUSPIPES-EQ,EQ,0.1,
NSE,28847,1,VENTIVE,VENTIVE-EQ,EQ,0.05,
NSE,3757,1,VENKEYS,VENKEYS-EQ,EQ,0.1,
NSE,14595,1200,VELS,VELS-ST,ST,0.05,
NSE,10710,500,VEEKAYEM,VEEKAYEM-SM,SM,0.05,
NSE,14019,1,VEEDOL,VEEDOL-EQ,EQ,0.1,
NSE,3063,1,VEDL,VEDL-EQ,EQ,0.05,
NSE,25054,1200,VDEAL,VDEAL-SM,SM,0.05,
NSE,9020,1,VCL,VCL-EQ,EQ,0.01,
NSE,18921,1,VBL,VBL-EQ,EQ,0.05,
NSE,25340,1,VASWANI,VASWANI-EQ,EQ,0.01,
NSE,18110,1,VASCONEQ,VASCONEQ-EQ,EQ,0.01,
NSE,1274,4000,VASA,VASA-SM,SM,0.05,
NSE,3857,1,VARROC,VARROC-EQ,EQ,0.05,
NSE,3646,1,VARDMNPOLY,VARDMNPOLY-EQ,EQ,0.01,
NSE,11220,1,VARDHACRLC,VARDHACRLC-EQ,EQ,0.01,
NSE,330,1,VALIANTORG,VALIANTORG-EQ,EQ,0.05,
NSE,19220,1,VALIANTLAB,VALIANTLAB-BE,BE,0.01,
NSE,25851,1,VAL30IETF,VAL30IETF-EQ,EQ,0.01,
NSE,13342,1,VAKRANGEE,VAKRANGEE-EQ,EQ,0.01,
NSE,16589,1,VAISHALI,VAISHALI-EQ,EQ,0.01,
NSE,11364,1,VAIBHAVGBL,VAIBHAVGBL-EQ,EQ,0.01,
NSE,24196,1,VADILALIND,VADILALIND-EQ,EQ,0.5,
NSE,14770,1,V2RETAIL,V2RETAIL-BE,BE,0.1,
NSE,12863,1,V1NSETEST,V1NSETEST-EQ,EQ,0.05,
NSE,25626,1,UYFINCORP,UYFINCORP-EQ,EQ,0.01,
NSE,5945,1000,UWCSL,UWCSL-SM,SM,0.05,
NSE,13376,1,UTTAMSUGAR,UTTAMSUGAR-EQ,EQ,0.05,
NSE,24726,600,UTSSAV,UTSSAV-SM,SM,0.05,
NSE,17358,1,UTKARSHBNK,UTKARSHBNK-EQ,EQ,0.01,
NSE,9168,1,UTISXN50,UTISXN50-EQ,EQ,0.01,
NSE,10515,1,UTISENSETF,UTISENSETF-EQ,EQ,0.01,
NSE,13949,1,UTIRQP35P3,UTIRQP35P3-MF,MF,0.01,
NSE,13164,1,UTIRQP35P2,UTIRQP35P2-MF,MF,0.01,
NSE,12071,1,UTIRQP35P1,UTIRQP35P1-MF,MF,0.01,
NSE,14401,1,UTIRPP36P1,UTIRPP36P1-MF,MF,0.01,
NSE,13163,1,UTIRMP35P2,UTIRMP35P2-MF,MF,0.01,
NSE,12064,1,UTIRMP35P1,UTIRMP35P1-MF,MF,0.01,
NSE,14399,1,UTIRGR36P1,UTIRGR36P1-MF,MF,0.01,
NSE,13948,1,UTIRGR35P3,UTIRGR35P3-MF,MF,0.01,
NSE,13160,1,UTIRGR35P2,UTIRGR35P2-MF,MF,0.01,
NSE,12060,1,UTIRGR35P1,UTIRGR35P1-MF,MF,0.01,
NSE,13947,1,UTIRFP35P3,UTIRFP35P3-MF,MF,0.01,
NSE,13158,1,UTIRFP35P2,UTIRFP35P2-MF,MF,0.01,
NSE,12057,1,UTIRFP35P1,UTIRFP35P1-MF,MF,0.01,
NSE,13946,1,UTIRAP35P3,UTIRAP35P3-MF,MF,0.01,
NSE,13156,1,UTIRAP35P2,UTIRAP35P2-MF,MF,0.01,
NSE,12048,1,UTIRAP35P1,UTIRAP35P1-MF,MF,0.01,
NSE,10511,1,UTINIFTETF,UTINIFTETF-EQ,EQ,0.01,
NSE,21478,1,UTINEXT50,UTINEXT50-EQ,EQ,0.01,
NSE,13943,1,UTIDQP35P3,UTIDQP35P3-MF,MF,0.01,
NSE,13155,1,UTIDQP35P2,UTIDQP35P2-MF,MF,0.01,
NSE,12046,1,UTIDQP35P1,UTIDQP35P1-MF,MF,0.01,
NSE,14395,1,UTIDPP36P1,UTIDPP36P1-MF,MF,0.01,
NSE,13942,1,UTIDMP35P3,UTIDMP35P3-MF,MF,0.01,
NSE,13154,1,UTIDMP35P2,UTIDMP35P2-MF,MF,0.01,
NSE,12041,1,UTIDMP35P1,UTIDMP35P1-MF,MF,0.01,
NSE,14394,1,UTIDGR36P1,UTIDGR36P1-MF,MF,0.01,
NSE,13939,1,UTIDGR35P3,UTIDGR35P3-MF,MF,0.01,
NSE,13153,1,UTIDGR35P2,UTIDGR35P2-MF,MF,0.01,
NSE,12040,1,UTIDGR35P1,UTIDGR35P1-MF,MF,0.01,
NSE,13152,1,UTIDFP35P2,UTIDFP35P2-MF,MF,0.01,
NSE,13937,1,UTIDAP35P3,UTIDAP35P3-MF,MF,0.01,
NSE,13150,1,UTIDAP35P2,UTIDAP35P2-MF,MF,0.01,
NSE,12039,1,UTIDAP35P1,UTIDAP35P1-MF,MF,0.01,
NSE,22440,1,UTIBANKETF,UTIBANKETF-EQ,EQ,0.01,
NSE,527,1,UTIAMC,UTIAMC-EQ,EQ,0.1,
NSE,24061,1,UTFIAIPRRI,UTFIAIPRRI-MF,MF,0.01,
NSE,24058,1,UTFIAIPRPI,UTFIAIPRPI-MF,MF,0.01,
NSE,24055,1,UTFIAIPRGI,UTFIAIPRGI-MF,MF,0.01,
NSE,24049,1,UTFIAIPIGI,UTFIAIPIGI-MF,MF,0.01,
NSE,30426,1,UTFDAIPIPI,UTFDAIPIPI-MF,MF,0.01,
NSE,30425,1,UTFDAIPIGI,UTFDAIPIGI-MF,MF,0.01,
NSE,14871,1,USK,USK-EQ,EQ,0.01,
NSE,8840,1,USHAMART,USHAMART-EQ,EQ,0.05,
NSE,25955,800,USHAFIN,USHAFIN-ST,ST,0.05,
NSE,10610,300,USASEEDS,USASEEDS-SM,SM,0.05,
NSE,20203,1,URJA,URJA-EQ,EQ,0.01,
NSE,16917,800,URBAN,URBAN-ST,ST,0.05,
NSE,17081,1,URAVIDEF,URAVIDEF-BE,BE,0.05,
NSE,30271,1,UPLPP1,UPLPP1-E1,E1,0.05,
NSE,11287,1,UPL,UPL-EQ,EQ,0.05,
NSE,14154,1,UNOMINDA,UNOMINDA-EQ,EQ,0.05,
NSE,17659,1,UNIVPHOTO,UNIVPHOTO-EQ,EQ,0.01,
NSE,3607,1,UNIVCABLES,UNIVCABLES-EQ,EQ,0.05,
NSE,18977,1,UNIVASTU,UNIVASTU-EQ,EQ,0.05,
NSE,17999,1,UNITEDTEA,UNITEDTEA-EQ,EQ,0.05,
NSE,7560,1,UNITEDPOLY,UNITEDPOLY-EQ,EQ,0.01,
NSE,8893,1,UNITECH,UNITECH-BZ,BZ,0.01,
NSE,10447,1,UNITDSPR,UNITDSPR-EQ,EQ,0.1,
NSE,13057,1,UNIPARTS,UNIPARTS-EQ,EQ,0.05,
NSE,29687,1,UNIONGOLD,UNIONGOLD-EQ,EQ,0.05,
NSE,10753,1,UNIONBANK,UNIONBANK-EQ,EQ,0.01,
NSE,28960,1,UNIMECH,UNIMECH-EQ,EQ,0.05,
NSE,25633,1600,UNILEX,UNILEX-SM,SM,0.05,
NSE,7797,1,UNIINFO,UNIINFO-BE,BE,0.01,
NSE,18582,1000,UNIHEALTH,UNIHEALTH-SM,SM,0.05,
NSE,11293,1,UNIENTER,UNIENTER-EQ,EQ,0.01,
NSE,24809,1,UNIECOM,UNIECOM-EQ,EQ,0.01,
NSE,201,1,UNIDT,UNIDT-EQ,EQ,0.01,
NSE,3579,1,UNICHEMLAB,UNICHEMLAB-EQ,EQ,0.05,
NSE,8998,1,UMIYA-MRO,UMIYA-MRO-EQ,EQ,0.01,
NSE,19145,1,UMESLTD,UMESLTD-BE,BE,0.01,
NSE,11387,1,UMANGDAIRY,UMANGDAIRY-EQ,EQ,0.01,
NSE,8842,1,UMAEXPORTS,UMAEXPORTS-EQ,EQ,0.01,
NSE,13349,4000,UMA,UMA-SM,SM,0.05,
NSE,11532,1,ULTRACEMCO,ULTRACEMCO-EQ,EQ,1,
NSE,15228,1,UJJIVANSFB,UJJIVANSFB-EQ,EQ,0.01,
NSE,25935,2000,UHTL,UHTL-SM,SM,0.05,
NSE,5313,1,UGROCAP,UGROCAP-EQ,EQ,0.01,
NSE,19578,1,UGARSUGAR,UGARSUGAR-EQ,EQ,0.01,
NSE,9039,1,UFO,UFO-EQ,EQ,0.01,
NSE,1053,1,UFLEX,UFLEX-EQ,EQ,0.05,
NSE,19113,1,UDS,UDS-EQ,EQ,0.05,
NSE,7276,1,UDAICEMENT,UDAICEMENT-EQ,EQ,0.01,
NSE,11223,1,UCOBANK,UCOBANK-EQ,EQ,0.01,
NSE,4212,2000,UCL,UCL-SM,SM,0.05,
NSE,3570,1,UCAL,UCAL-EQ,EQ,0.01,
NSE,16713,1,UBL,UBL-EQ,EQ,0.1,
NSE,18508,1,TVVISION,TVVISION-BE,BE,0.01,
NSE,11275,1,TVTODAY,TVTODAY-EQ,EQ,0.01,
NSE,14245,1,TVSSRICHAK,TVSSRICHAK-EQ,EQ,0.1,
NSE,18151,1,TVSSCS,TVSSCS-EQ,EQ,0.01,
NSE,8479,1,TVSMOTOR,TVSMOTOR-EQ,EQ,0.1,
NSE,29008,1,TVSHLTD,TVSHLTD-EQ,EQ,0.5,
NSE,11265,1,TVSELECT,TVSELECT-EQ,EQ,0.05,
NSE,24520,2000,TUNWAL,TUNWAL-SM,SM,0.05,
NSE,8954,1,TTML,TTML-EQ,EQ,0.01,
NSE,14314,1,TTL,TTL-EQ,EQ,0.01,
NSE,3546,1,TTKPRESTIG,TTKPRESTIG-EQ,EQ,0.05,
NSE,11369,1,TTKHLTCARE,TTKHLTCARE-EQ,EQ,0.1,
NSE,23420,600,TRUST,TRUST-ST,ST,0.05,
NSE,9387,1,TRU,TRU-BE,BE,0.01,
NSE,24642,600,TROM,TROM-SM,SM,0.05,
NSE,13081,1,TRIVENI,TRIVENI-EQ,EQ,0.05,
NSE,25584,1,TRITURBINE,TRITURBINE-EQ,EQ,0.05,
NSE,5428,1,TRIGYN,TRIGYN-EQ,EQ,0.01,
NSE,17210,3000,TRIDHYA,TRIDHYA-SM,SM,0.05,
NSE,9685,1,TRIDENT,TRIDENT-EQ,EQ,0.01,
NSE,17987,1,TRF,TRF-EQ,EQ,0.05,
NSE,1964,1,TRENT,TRENT-EQ,EQ,0.5,
NSE,17795,1,TREL,TREL-EQ,EQ,0.01,
NSE,7518,1,TREJHARA,TREJHARA-EQ,EQ,0.01,
NSE,25086,1,TREEHOUSE,TREEHOUSE-BE,BE,0.01,
NSE,3129,1,TRANSWORLD,TRANSWORLD-EQ,EQ,0.05,
NSE,21260,4000,TRANSWIND,TRANSWIND-SM,SM,0.05,
NSE,19801,2000,TRANSTEEL,TRANSTEEL-SM,SM,0.05,
NSE,28714,1,TRANSRAILL,TRANSRAILL-EQ,EQ,0.05,
NSE,11582,1,TRACXN,TRACXN-EQ,EQ,0.01,
NSE,9219,1,TPLPLASTEH,TPLPLASTEH-EQ,EQ,0.01,
NSE,20622,1,TPL26,TPL26-N3,N3,0.01,
NSE,16996,1,TPHQ,TPHQ-EQ,EQ,0.01,
NSE,16910,1,TOUCHWOOD,TOUCHWOOD-BE,BE,0.01,
NSE,22423,1,TOTAL,TOTAL-EQ,EQ,0.01,
NSE,13786,1,TORNTPOWER,TORNTPOWER-EQ,EQ,0.1,
NSE,3518,1,TORNTPHARM,TORNTPHARM-EQ,EQ,0.1,
NSE,25171,1,TOP10ADD,TOP10ADD-EQ,EQ,0.01,
NSE,24081,1,TOP100CASE,TOP100CASE-EQ,EQ,0.01,
NSE,25264,1,TOLINS,TOLINS-BE,BE,0.01,
NSE,3837,1,TOKYOPLAST,TOKYOPLAST-EQ,EQ,0.01,
NSE,3512,1,TNTELE,TNTELE-EQ,EQ,0.01,
NSE,3980,1,TNPL,TNPL-EQ,EQ,0.01,
NSE,3509,1,TNPETRO,TNPETRO-EQ,EQ,0.01,
NSE,8882,1,TNIDETF,TNIDETF-EQ,EQ,0.01,
NSE,10945,1,TMB,TMB-EQ,EQ,0.05,
NSE,3506,1,TITAN,TITAN-EQ,EQ,0.1,
NSE,15414,1,TITAGARH,TITAGARH-EQ,EQ,0.05,
NSE,22284,1,TIRUPATIFL,TIRUPATIFL-BE,BE,0.01,
NSE,21868,125,TIRUPATI,TIRUPATI-SM,SM,0.05,
NSE,3496,1,TIRUMALCHM,TIRUMALCHM-EQ,EQ,0.01,
NSE,9117,1,TIPSMUSIC,TIPSMUSIC-EQ,EQ,0.05,
NSE,11374,1,TIPSFILMS,TIPSFILMS-EQ,EQ,0.05,
NSE,756020,1,TINNARUBR,TINNARUBR-EQ,EQ,0.05,
NSE,14198,1,TIMKEN,TIMKEN-EQ,EQ,0.1,
NSE,14707,1,TIMETECHNO,TIMETECHNO-EQ,EQ,0.05,
NSE,10717,1,TIMESGTY,TIMESGTY-EQ,EQ,0.01,
NSE,7800,2000,TIMESCAN,TIMESCAN-SM,SM,0.05,
NSE,3484,1,TIL,TIL-EQ,EQ,0.01,
NSE,25486,1,TIJARIA,TIJARIA-BE,BE,0.01,
NSE,312,1,TIINDIA,TIINDIA-EQ,EQ,0.1,
NSE,14223,1,TIIL,TIIL-EQ,EQ,0.1,
NSE,19503,1,TICL,TICL-BE,BE,0.01,
NSE,19196,1,TI,TI-EQ,EQ,0.05,
NSE,17032,1,THYROCARE,THYROCARE-EQ,EQ,0.05,
NSE,31021,1,THOMASCOTT,THOMASCOTT-BE,BE,0.05,
NSE,3481,1,THOMASCOOK,THOMASCOOK-EQ,EQ,0.01,
NSE,25648,3000,THESL,THESL-SM,SM,0.05,
NSE,3475,1,THERMAX,THERMAX-EQ,EQ,0.1,
NSE,14485,1,THEMISMED,THEMISMED-EQ,EQ,0.01,
NSE,19279,1,THEJO,THEJO-EQ,EQ,0.1,
NSE,21427,1,THEINVEST,THEINVEST-EQ,EQ,0.01,
NSE,18118,1,THANGAMAYL,THANGAMAYL-EQ,EQ,0.1,
NSE,23530,200,TGL,TGL-ST,ST,0.05,
NSE,14607,1,TGBHOTELS,TGBHOTELS-EQ,EQ,0.01,
NSE,14323,1,TFL,TFL-BE,BE,0.01,
NSE,3466,1,TFCILTD,TFCILTD-EQ,EQ,0.01,
NSE,21828,1,TEXRAIL,TEXRAIL-EQ,EQ,0.01,
NSE,18214,1,TEXMOPIPES,TEXMOPIPES-EQ,EQ,0.01,
NSE,11549,1,TEXINFRA,TEXINFRA-EQ,EQ,0.01,
NSE,19296,1,TERASOFT,TERASOFT-BE,BE,0.01,
NSE,3280,1,TEMBO,TEMBO-BE,BE,0.05,
NSE,21131,1,TEJASNET,TEJASNET-EQ,EQ,0.05,
NSE,29723,800,TEJASCARGO,TEJASCARGO-SM,SM,0.05,
NSE,7105,1,TEGA,TEGA-EQ,EQ,0.1,
NSE,6445,1,TECHNOE,TECHNOE-EQ,EQ,0.1,
NSE,13538,1,TECHM,TECHM-EQ,EQ,0.1,
NSE,21093,125,TECHLABS,TECHLABS-ST,ST,0.05,
NSE,25652,800,TECHERA,TECHERA-SM,SM,0.05,
NSE,6462,1,TECH,TECH-EQ,EQ,0.01,
NSE,12716,1,TEAMLEASE,TEAMLEASE-EQ,EQ,0.1,
NSE,25178,1,TDPOWERSYS,TDPOWERSYS-EQ,EQ,0.05,
NSE,11536,1,TCS,TCS-EQ,EQ,0.1,
NSE,184,1,TCPLPACK,TCPLPACK-EQ,EQ,0.1,
NSE,23578,1,TCL26,TCL26-NG,NG,0.01,
NSE,22777,800,TCL,TCL-SM,SM,0.05,
NSE,4771,1,TCIFINANCE,TCIFINANCE-EQ,EQ,0.01,
NSE,19223,1,TCIEXP,TCIEXP-EQ,EQ,0.05,
NSE,10580,1,TCI,TCI-EQ,EQ,0.1,
NSE,16894,1,TCHF30,TCHF30-NB,NB,0.01,
NSE,27037,1,TBZ,TBZ-EQ,EQ,0.01,
NSE,23740,1,TBOTEK,TBOTEK-EQ,EQ,0.1,
NSE,24022,600,TBI,TBI-ST,ST,0.05,
NSE,5162,1,TATVA,TATVA-EQ,EQ,0.05,
NSE,21428,1,TATSILV,TATSILV-EQ,EQ,0.01,
NSE,20293,1,TATATECH,TATATECH-EQ,EQ,0.05,
NSE,3499,1,TATASTEEL,TATASTEEL-EQ,EQ,0.01,
NSE,3426,1,TATAPOWER,TATAPOWER-EQ,EQ,0.05,
NSE,3456,1,TATAMOTORS,TATAMOTORS-EQ,EQ,0.05,
NSE,1621,1,TATAINVEST,TATAINVEST-EQ,EQ,0.5,
NSE,21401,1,TATAGOLD,TATAGOLD-EQ,EQ,0.01,
NSE,3411,1,TATAELXSI,TATAELXSI-EQ,EQ,0.5,
NSE,3432,1,TATACONSUM,TATACONSUM-EQ,EQ,0.1,
NSE,3721,1,TATACOMM,TATACOMM-EQ,EQ,0.1,
NSE,3405,1,TATACHEM,TATACHEM-EQ,EQ,0.05,
NSE,20092,1,TASTYBITE,TASTYBITE-EQ,EQ,0.5,
NSE,6943,1,TARSONS,TARSONS-EQ,EQ,0.05,
NSE,14771,1,TARMAT,TARMAT-EQ,EQ,0.01,
NSE,15174,1,TARIL,TARIL-EQ,EQ,0.05,
NSE,1581,1,TARC,TARC-EQ,EQ,0.01,
NSE,18831,1,TARAPUR,TARAPUR-BE,BE,0.01,
NSE,23514,1,TARACHAND,TARACHAND-BE,BE,0.01,
NSE,10986,750,TAPIFRUIT,TAPIFRUIT-SM,SM,0.05,
NSE,13976,1,TANLA,TANLA-EQ,EQ,0.05,
NSE,756338,1000,TANKUP,TANKUP-ST,ST,0.05,
NSE,13648,1,TALBROAUTO,TALBROAUTO-EQ,EQ,0.05,
NSE,29209,1,TAKE,TAKE-BZ,BZ,0.01,
NSE,9354,1,TAJGVK,TAJGVK-EQ,EQ,0.05,
NSE,3396,1,TAINWALCHM,TAINWALCHM-EQ,EQ,0.01,
